"","ID","Contributor","vowels","cons","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Family_Glottocode","Family_Name"
"1","aari1239","1483",10,26,"Aari","Africa",5.95034,36.5721,"aari1239","aiw","sout2845","South Omotic"
"2","abar1238","1617",12,24,"Mungbam","Africa",6.5805,10.2267,"abar1238","mij","atla1278","Atlantic-Congo"
"3","abau1245","1160",5,9,"Abau","Papunesia",-3.97222,141.324,"abau1245","aau","sepi1257","Sepik"
"4","abid1235","649",18,21,"Abidji","Africa",5.65656,-4.58421,"abid1235","abi","atla1278","Atlantic-Congo"
"5","abid1235","1526",17,21,"Abidji","Africa",5.65656,-4.58421,"abid1235","abi","atla1278","Atlantic-Congo"
"6","abip1241","1914",10,13,"Abipon","South America",-29,-61,"abip1241","axb","guai1249","Guaicuruan"
"7","abip1241","235",5,15,"Abipon","South America",-29,-61,"abip1241","axb","guai1249","Guaicuruan"
"8","abis1238","1923",10,17,"Aewa","South America",-0.69386,-75.2183,"abis1238","ash","abis1238",""
"9","abkh1244","2552",3,67,"Abkhazian","Eurasia",43.056218,41.159115,"abkh1244","abk","abkh1242","Abkhaz-Adyge"
"10","abkh1244","2468",3,59,"Abkhazian","Eurasia",43.056218,41.159115,"abkh1244","abk","abkh1242","Abkhaz-Adyge"
"11","abua1244","1297",13,27,"Abua","Africa",4.83057,6.61492,"abua1244","abn","atla1278","Atlantic-Congo"
"12","abur1243","1521",18,20,"Abure","Africa",5.21534,-3.64123,"abur1243","abu","atla1278","Atlantic-Congo"
"13","acat1239","587",10,20,"Acatepec Me'phaa","North America",17.1034,-99.0602,"acat1239","tpx","otom1299","Otomanguean"
"14","acha1249","2548",23,36,"Longchuan Achang","Eurasia",24.3479,97.7438,"acha1249","acn","sino1245","Sino-Tibetan"
"15","acha1250","1803",10,19,"Achagua","South America",4.38649,-72.2005,"acha1250","aca","araw1281","Arawakan"
"16","ache1245","1428",20,18,"Acheron","Africa",10.8827,30.3187,"ache1245","acz","narr1279","Narrow Talodi"
"17","ache1246","348",10,11,"Aché","South America",-25.5865,-56.4697,"ache1246","guq","tupi1275","Tupian"
"18","ache1246","2068",12,22,"Aché","South America",-25.5865,-56.4697,"ache1246","guq","tupi1275","Tupian"
"19","achi1257","1093",34,21,"Achinese","Eurasia",3.90757,96.6032,"achi1257","ace","aust1307","Austronesian"
"20","achu1247","199",6,17,"Achumawi","North America",41.0979,-121.191,"achu1247","acv","pala1350","Palaihnihan"
"21","achu1248","1946",12,15,"Achuar-Shiwiar","South America",-2.82646,-77.2641,"achu1248","acu","jiva1245","Chicham"
"22","acol1236","1433",12,17,"Acoli","Africa",3.57738,32.5147,"acol1236","ach","nilo1247","Nilotic"
"23","adam1253","1241",10,37,"Adamawa Fulfulde","Africa",8.140326,13.077338,"adam1253","fub","atla1278","Atlantic-Congo"
"24","adam1253","1234",9,27,"Adamawa Fulfulde","Africa",8.140326,13.077338,"adam1253","fub","atla1278","Atlantic-Congo"
"25","adam1253","712",10,24,"Adamawa Fulfulde","Africa",8.140326,13.077338,"adam1253","fub","atla1278","Atlantic-Congo"
"26","adam1253","1253",10,29,"Adamawa Fulfulde","Africa",8.140326,13.077338,"adam1253","fub","atla1278","Atlantic-Congo"
"27","adan1247","692",16,23,"Adangme","Africa",5.9437,0.13243,"adan1247","ada","atla1278","Atlantic-Congo"
"28","adan1251","1090",22,18,"Adang","Papunesia",-8.18958,124.448,"adan1251","adn","timo1261","Timor-Alor-Pantar"
"29","adio1239","650",10,21,"Adioukrou","Africa",5.38228,-4.52522,"adio1239","adj","atla1278","Atlantic-Congo"
"30","adio1239","1527",11,21,"Adioukrou","Africa",5.38228,-4.52522,"adio1239","adj","atla1278","Atlantic-Congo"
"31","adny1235","2931",3,24,"Adnyamathanha","Australia",-30.1451,138.671,"adny1235","adt","pama1250","Pama-Nyungan"
"32","adyg1241","2349",3,54,"Adyghe","Eurasia",44,39.33,"adyg1241","ady","abkh1242","Abkhaz-Adyge"
"33","adze1240","200",7,18,"Adzera","Papunesia",-6.39394,146.294,"adze1240","adz","aust1307","Austronesian"
"34","adze1240","41",7,18,"Adzera","Papunesia",-6.39394,146.294,"adze1240","adz","aust1307","Austronesian"
"35","afad1236","198",9,27,"Afade","Africa",12.0551,14.6343,"afad1236","aal","afro1255","Afro-Asiatic"
"36","afar1241","1342",10,17,"Afar","Africa",12.2281,41.8083,"afar1241","aar","afro1255","Afro-Asiatic"
"37","afit1238","1295",9,17,"Afitti","Africa",12.446,30.7611,"afit1238","aft","nyim1244","Nyimang"
"38","afri1274","1395",23,16,"Afrikaans","Africa",-22,30,"afri1274","afr","indo1319","Indo-European"
"39","aghe1239","1524",21,28,"Aghem","Africa",6.38956,10.0807,"aghe1239","agq","atla1278","Atlantic-Congo"
"40","aghe1239","204",10,25,"Aghem","Africa",6.38956,10.0807,"aghe1239","agq","atla1278","Atlantic-Congo"
"41","aghu1254","2880",7,20,"Aghu Tharnggalu","Australia",-13.735,142.426,"aghu1254","ggr","pama1250","Pama-Nyungan"
"42","agua1253","1947",8,12,"Aguaruna","South America",-5.30044,-77.9218,"agua1253","agr","jiva1245","Chicham"
"43","ahan1243","1400",16,24,"Ahanta","Africa",4.85147,-1.94657,"ahan1243","aha","atla1278","Atlantic-Congo"
"44","ahan1244","1544",17,26,"Àhàn","Africa",7.44139,6.00896,"ahan1244","ahn","atla1278","Atlantic-Congo"
"45","aheu1239","1216",27,20,"Thavung","Eurasia",17.7655,104.229,"aheu1239","thm","aust1305","Austroasiatic"
"46","aheu1239","1014",50,22,"Thavung","Eurasia",17.7655,104.229,"aheu1239","thm","aust1305","Austroasiatic"
"47","ahte1237","206",5,30,"Ahtena","North America",61.7068,-144.889,"ahte1237","aht","atha1245","Athabaskan-Eyak-Tlingit"
"48","aika1237","563",10,22,"Aikanã","South America",-12.6695,-60.5353,"aika1237","tba","aika1237",""
"49","aika1237","2118",10,15,"Aikanã","South America",-12.6695,-60.5353,"aika1237","tba","aika1237",""
"50","ainu1240","196",5,12,"Hokkaido Ainu","Eurasia",43.633654,142.46167,"ainu1240","ain","ainu1252","Ainu"
"51","ainu1240","207",5,11,"Hokkaido Ainu","Eurasia",43.633654,142.46167,"ainu1240","ain","ainu1252","Ainu"
"52","ajab1235","651",17,28,"Aja (Benin)","Africa",7.06634,1.64992,"ajab1235","ajg","atla1278","Atlantic-Congo"
"53","ajab1235","652",14,23,"Aja (Benin)","Africa",7.06634,1.64992,"ajab1235","ajg","atla1278","Atlantic-Congo"
"54","ajas1235","1250",10,38,"Aja (Sudan)","Africa",8.58003,25.6122,"ajas1235","aja","kres1240","Kresh-Aja"
"55","ajyi1238","1807",6,20,"Ajyíninka Apurucayali","South America",-9.82364,-74.61947,"ajyi1238","cpc","araw1281","Arawakan"
"56","akan1250","655",13,18,"Akan","Africa",6.34756,-1.33254,"akan1250","aka","atla1278","Atlantic-Congo"
"57","akan1250","208",14,21,"Akan","Africa",6.34756,-1.33254,"akan1250","aka","atla1278","Atlantic-Congo"
"58","akan1250","140",18,22,"Akan","Africa",6.34756,-1.33254,"akan1250","aka","atla1278","Atlantic-Congo"
"59","akan1250","1245",32,28,"Akan","Africa",6.34756,-1.33254,"akan1250","aka","atla1278","Atlantic-Congo"
"60","akas1242","1572",32,20,"Akaselem","Africa",8.8858,1.37035,"akas1242","aks","atla1278","Atlantic-Congo"
"61","akaw1239","1873",11,10,"Akawaio","South America",6.16277,-60.862,"akaw1239","ake","cari1283","Cariban"
"62","akaw1239","209",10,13,"Akawaio","South America",6.16277,-60.862,"akaw1239","ake","cari1283","Cariban"
"63","akha1245","1162",16,28,"Akha","Eurasia",21.2309,100.964,"akha1245","ahk","sino1245","Sino-Tibetan"
"64","akha1245","2608",23,34,"Akha","Eurasia",21.2309,100.964,"akha1245","ahk","sino1245","Sino-Tibetan"
"65","akla1241","1095",3,17,"Aklanon","Papunesia",11.5543,122.354,"akla1241","akl","aust1307","Austronesian"
"66","akoo1248","656",22,22,"Akoose","Africa",4.9243,9.65522,"akoo1248","bss","atla1278","Atlantic-Congo"
"67","akoo1248","1554",14,18,"Akoose","Africa",4.9243,9.65522,"akoo1248","bss","atla1278","Atlantic-Congo"
"68","akpe1248","1532",13,21,"Akpes","Africa",7.50256,5.95559,"akpe1248","ibe","atla1278","Atlantic-Congo"
"69","akun1241","2069",11,11,"Akuntsu","South America",-12.8322,-60.9716,"akun1241","aqz","tupi1275","Tupian"
"70","akur1238","1862",14,10,"Akurio","South America",3.19607,-55.6294,"akur1238","ako","cari1283","Cariban"
"71","alab1237","79",6,15,"Alabama","North America",30.76738,-94.62848,"alab1237","akz","musk1252","Muskogean"
"72","alab1237","210",3,14,"Alabama","North America",30.76738,-94.62848,"alab1237","akz","musk1252","Muskogean"
"73","alab1254","1451",10,52,"Alaba-K'abeena","Africa",7.39014,38.1732,"alab1254","alw","afro1255","Afro-Asiatic"
"74","alam1246","221",7,18,"Alamblak","Papunesia",-4.66307,143.316,"alam1246","amp","sepi1257","Sepik"
"75","alaw1244","50",5,23,"Alawa","Australia",-15.5458,134.282,"alaw1244","alh","mang1423","Mangarrayi-Maran"
"76","alaw1244","214",4,22,"Alawa","Australia",-15.5458,134.282,"alaw1244","alh","mang1423","Mangarrayi-Maran"
"77","alaw1244","2681",4,22,"Alawa","Australia",-15.5458,134.282,"alaw1244","alh","mang1423","Mangarrayi-Maran"
"78","aleu1260","213",3,24,"Aleut","North America",52.1228,-174.29,"aleu1260","ale","eski1264","Eskimo-Aleut"
"79","aleu1260","61",6,30,"Aleut","North America",52.1228,-174.29,"aleu1260","ale","eski1264","Eskimo-Aleut"
"80","alla1248","212",11,25,"Alladian","Africa",5.22371,-4.42647,"alla1248","ald","atla1278","Atlantic-Congo"
"81","alla1248","1529",13,23,"Alladian","Africa",5.22371,-4.42647,"alla1248","ald","atla1278","Atlantic-Congo"
"82","alng1239","2908",4,24,"Alngith","Australia",-12.5324,141.938,"alng1239","aid","pama1250","Pama-Nyungan"
"83","alut1245","2412",9,18,"Alutor","Eurasia",60.3844,165.653,"alut1245","alr","chuk1271","Chukotko-Kamchatkan"
"84","alya1239","2702",3,40,"Alyawarr","Australia",-21.0427,136.835,"alya1239","aly","pama1250","Pama-Nyungan"
"85","alya1239","1163",7,25,"Alyawarr","Australia",-21.0427,136.835,"alya1239","aly","pama1250","Pama-Nyungan"
"86","amah1246","1998",8,15,"Amahuaca","South America",-10.2012,-72.3208,"amah1246","amc","pano1259","Pano-Tacanan"
"87","amah1246","120",8,14,"Amahuaca","South America",-10.2012,-72.3208,"amah1246","amc","pano1259","Pano-Tacanan"
"88","amah1246","216",8,14,"Amahuaca","South America",-10.2012,-72.3208,"amah1246","amc","pano1259","Pano-Tacanan"
"89","aman1265","1164",5,14,"Amanab","Papunesia",-3.51516,141.178,"aman1265","amn","bord1247","Border"
"90","amar1271","2666",3,21,"Amurdak","Australia",-11.9876,132.878,"amar1271","amg","iwai1246","Iwaidjan Proper"
"91","amar1274","1920",18,15,"Amarakaeri","South America",-12.4931,-70.5533,"amar1274","amr","hara1260","Harakmbut"
