,words,IPA
0,a,eI
1,a,eI
2,a,eI
3,A,eI
4,AA,eIeI
5,AA,eIeI
6,aback,@bɑk
7,abacus,ɑb@k@s
8,abaft,@bAft
9,abaft,@bAft
10,abandon,@bɑnd@n
11,abandon,@bɑnd@n
12,abandoned,@bɑnd@nd
13,abandonment,@bɑnd@nm@nt
14,abase,@beIs
15,abasement,@beIsm@nt
16,abash,@bɑS
17,abate,@beIt
18,abatement,@beItm@nt
19,abattoir,ɑb@twArɞ
20,abbe,ɑbeI
21,abbess,ɑbEs
22,abbey,ɑbI
23,abbot,ɑb@t
24,abbreviate,@brivIeIt
25,abbreviation,"@brivIeISn,"
26,ABC,eIbisi
27,abdicate,ɑbdIkeIt
28,abdication,"ɑbdIkeISn,"
29,abdomen,ɑbd@mEn
30,abdominal,"ɑbdOmInl,"
31,abduct,@bdVkt
32,abduction,"ɑbdVkSn,"
33,abeam,@bim
34,abed,@bEd
35,aberrant,ɑbEr@nt
36,aberration,"ɑb@reISn,"
37,abet,@bEt
38,abettor,@bEt@rɞ
39,abeyance,@beI@ns
40,abeyant,@beI@nt
41,abhor,@bhOrɞ
42,abhorrence,@bhOr@ns
43,abhorrent,@bhOr@nt
44,abidanceby,@baId@nsbaI
45,abide,@baId
46,abideby,@baIdbaI
47,abiding,@baIdIN
48,abilities,@bIl@tIz
49,ability,@bIl@tI
50,abinitio,ɑbInISI@U
51,abject,ɑbdZEkt
52,abjection,"ɑbdZEkSn,"
53,abjectly,ɑbdZEktlI
54,abjuration,"ɑbdZU@reISn,"
55,abjure,@bdZU@rɞ
56,ablative,ɑbl@tIv
57,ablative,ɑbl@tIv
58,ablaut,ɑblaUt
59,ablaze,@bleIz
60,ablaze,@bleIz
61,able,"eIbl,"
62,able-bodied,"eIbl,bOdId"
63,able-bodiedseaman,"eIbl,bOdIdsim@n"
64,ableseaman,"eIbl,sim@n"
65,ablution,"@bluSn,"
66,ablutions,"@bluSn,z"
67,ably,eIblI
68,abnegate,ɑbnIgeIt
69,abnegation,"ɑbnIgeISn,"
70,abnormal,"ɑbnOml,"
71,abnormality,ɑbnOmɑl@tI
72,abnormally,ɑbnOm@lI
73,abo,ɑb@U
74,aboard,@bOd
75,aboard,@bOd
76,abode,@b@Ud
77,abolish,@bOlIS
78,abolition,"ɑb@UlISn,"
79,abolitionist,ɑb@UlIS@nIst
80,A-bomb,eIbOm
81,abominable,"@bOmIn@bl,"
82,abominablesnowman,"@bOmIn@bl,sn@Umɑn"
83,abominably,@bOmIn@blI
84,abominate,@bOmIneIt
85,abomination,"@bOmIneISn,"
86,aboriginal,"ɑb@rIdZ@nl,"
87,aboriginal,"ɑb@rIdZ@nl,"
88,aborigine,ɑb@rIdZ@nI
89,Aborigine,ɑb@rIdZInI
90,abort,@bOt
91,abortion,"@bOSn,"
92,abortionist,"@bOSn,Ist"
93,abortive,@bOtIv
94,abortively,@bOtIvlI
95,abound,@baUnd
96,aboundin,@baUndIn
97,aboundwith,@baUndwID
98,about,@baUt
99,about,@baUt
100,about,@baUt
101,about-face,@baUtfeIs
102,about-face,@baUtfeIs
103,aboutturn,@baUtt3n
104,above,@bVv
105,above,@bVv
106,above,@bVv
107,above,@bVv
108,aboveboard,@bVvbOd
109,aboveboard,@bVvbOd
110,above-mentioned,"@bVvmEnSn,d"
111,above-mentioned,"@bVvmEnSn,d"
112,above-named,@bVvneImd
113,above-named,@bVvneImd
114,abracadabra,ɑbr@k@dɑbr@
115,abracadabra,ɑbr@k@dɑbr@
116,abrade,@breId
117,abrasion,"@breIZn,"
118,abrasive,@breIsIv
119,abrasive,@breIsIv
120,abrasively,@breIsIvlI
121,abreast,@brEst
122,abridge,@brIdZ
123,abridgment,@brIdZm@nt
124,abroad,@brOd
125,abrogate,ɑbr@UgeIt
126,abrogation,"ɑbr@UgeISn,"
127,abrupt,@brVpt
128,abruptly,@brVptlI
129,abruptness,@brVptnIs
130,abscess,ɑbsIs
131,abscond,@bskOnd
132,absence,ɑbs@ns
133,absenceofmind,ɑbs@nsOvmaInd
134,absent,ɑbsEnt
135,absent,ɑbs@nt
136,absentee,ɑbs@nti
137,absenteeism,ɑbs@ntiIz@m
138,absently,ɑbs@ntlI
139,absent-minded,ɑbs@ntmaIndId
140,absent-mindedly,ɑbs@ntmaIndIdlI
141,absent-mindedness,ɑbs@ntmaIndIdnIs
142,absinth,ɑbsInT
143,absolute,ɑbs@lut
144,absolutely,ɑbs@lutlI
145,absoluteness,ɑbs@lutnIs
146,absolutezero,ɑbs@lutzI@r@U
147,absolution,"ɑbs@luSn,"
148,absolutism,ɑbs@lutIz@m
149,absolve,@bzOlv
150,absorb,@bsOb
151,absorbent,@bsOb@nt
152,absorbent,@bsOb@nt
153,absorbing,@bsObIN
154,absorption,"@bsOpSn,"
155,abstain,@bsteIn
156,abstainer,@bsteIn@rɞ
157,abstemious,ɑbstimj@s
158,abstemiously,ɑbstimj@slI
159,abstemiousness,ɑbstimj@snIs
160,abstention,"@bstEnSn,"
161,abstinence,ɑbstIn@ns
162,abstinent,ɑbstIn@nt
163,abstract,ɑbstrɑkt
164,abstract,ɑbstrɑkt
165,abstract,ɑbstrɑkt
166,abstract,ɑbstrɑkt
167,abstracted,ɑbstrɑktId
168,abstractedly,ɑbstrɑktIdlI
169,abstraction,"ɑbstrɑkSn,"
170,abstruse,ɑbstrus
171,abstrusely,ɑbstruslI
172,abstruseness,ɑbstrusnIs
173,absurd,@bs3d
174,absurdity,@bs3d@tI
175,absurdly,@bs3dlI
176,abundance,@bVnd@ns
177,abundant,@bVnd@nt
178,abundantly,@bVnd@ntlI
179,abuse,@bjus
180,abuse,@bjuz
181,abusive,@bjusIv
182,abusively,@bjusIvlI
183,abutment,@bVtm@nt
184,abuton,@bVtOn
185,abysmal,"@bIzml,"
186,abysmally,@bIzm@lI
187,abyss,@bIs
188,A/C,eIsi
189,acacia,@keIS@
190,academic,ɑk@dEmIk
191,academic,ɑk@dEmIk
192,academically,ɑk@dEmIk@lI
193,academicals,"ɑk@dEmIkl,z"
194,academician,"@kɑd@mISn,"
195,academy,@kɑd@mI
196,acc.,eIsisi
197,accede,ɑksid
198,accelerando,@ksEl@rɑnd@U
199,accelerando,@tSEl@rɑnd@U
200,accelerando,ɑksEl@rɑnd@U
201,accelerate,@ksEl@reIt
202,acceleration,"@ksEl@reISn,"
203,accelerator,@ksEl@reIt@rɞ
204,accent,ɑksEnt
205,accent,ɑksEnt
206,accentuate,ɑksEntjUeIt
207,accentuation,"ɑksEntjUeISn,"
208,accept,@ksEpt
209,acceptability,@ksEpt@bIl@tI
210,acceptable,"@ksEpt@bl,"
211,acceptably,@ksEpt@blI
212,acceptance,@ksEpt@ns
213,acceptation,"ɑksEpteISn,"
214,access,ɑksEs
215,accessibility,@ksEs@bIl@tI
216,accessible,"@ksEs@bl,"
217,accession,"ɑksESn,"
218,accessory,@ksEs@rI
219,accidence,ɑksId@ns
220,accident,ɑksId@nt
221,accidental,"ɑksIdEntl,"
222,accidentally,ɑksIdEnt@lI
223,accident-prone,ɑksId@ntpr@Un
